business_status,name,user_ratings_total,rating,vicinity,lat,lng,types,place_id,phone_number
OPERATIONAL,Seu Pepeto Cidade Verde,331.0,4.6,"Rua Ipê Caboclo, 02 - Nova Parnamirim, Parnamirim",-5.892872999999999,-35.1927754,"['bar', 'point_of_interest', 'establishment']",ChIJe34nS5b5sgcRevseWmBx7u4,
OPERATIONAL,Zona Abissal Brewpub,142.0,4.7,"Rua Ipê Caboclo, 02 - Cidade Verde, Parnamirim",-5.8928094,-35.19279900000001,"['bar', 'point_of_interest', 'establishment']",ChIJlX6j8pf5sgcRN_VmoCdqWbg,
OPERATIONAL,Integra Bar & Restaurante (Cidade Verde),1445.0,4.5,"Rua Ingazeira, 1520 - Cidade Verde, Parnamirim",-5.894129699999999,-35.19302959999999,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",ChIJscnHwb_5sgcRjb8c4R3xH-c,
OPERATIONAL,Grilo lanche,377.0,4.3,"Rua Ingazeira, 3 - Nova Parnamirim, Parnamirim",-5.894154100000001,-35.1933066,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJgeL_4rv4sgcRUujNI1yEMxE,
OPERATIONAL,Bar 54,1343.0,4.6,"Rua Praia de Porto Mirim, 8995 - Ponta Negra, Natal",-5.8746019,-35.1834793,"['bar', 'tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJYVYVQr74sgcRUwFogaX0X68,
OPERATIONAL,Styllo Sampa,405.0,4.1,"Avenida Praia de Ponta Negra, 9016 - Ponta Negra, Natal",-5.873611499999999,-35.1812253,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJhZhM_S3_sgcRo7ywB8ZlTgg,
OPERATIONAL,Buteco do Mineiro,561.0,4.5,"Avenida Praia de Ponta Negra, 9104 - Ponta Negra, Natal",-5.875833300000001,-35.1794444,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ0YwAAS3_sgcRT0TBZX_Gba8,
OPERATIONAL,La Brasserie de La Mer,465.0,4.8,"Avenida Engenheiro Roberto Freire, 3800 - Ponta Negra, Natal",-5.871021,-35.1812792,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJGb4O0i__sgcR_EDnITvhUSo,
OPERATIONAL,Tempero Mineiro Bar e Restaurante,628.0,4.4,"Avenida Engenheiro Roberto Freire, 3740 - Ponta Negra, Natal",-5.870539,-35.1815692,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",ChIJaf0MnCz_sgcRWpTeYaAYf0k,
CLOSED_TEMPORARILY,Caipirinha Club,151.0,4.2,"Avenida Estrela do Mar, 2227 - Vila de Ponta Negra, Natal",-5.880976,-35.17918499999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJH5dgTNL4sgcRTj9A8zZGPpI,
